country,continent,year,population,gdp_per_capita,life_expectancy
Country_1,Europe,2022,26901695,8929.16,80.6
Country_2,Oceania,2022,11490744,21346.54,85.0
Country_3,Africa,2022,7470911,4015.62,68.0
Country_4,Africa,2022,5656661,5839.13,78.6
Country_5,Asia,2022,967254,5474.7,78.7
Country_6,Asia,2022,3018388,1875.23,76.6
Country_7,Asia,2022,4452791,10895.66,74.2
Country_8,Americas,2022,43387560,10520.23,73.6
Country_9,Africa,2022,14878494,8144.62,81.7
Country_10,Africa,2022,631238,6408.71,79.6
Country_11,Asia,2022,14448858,1967.72,74.2
Country_12,Oceania,2022,4987157,5320.67,79.0
Country_13,Americas,2022,3219114,5751.9,74.2
Country_14,Asia,2022,22242477,3632.67,76.8
Country_15,Asia,2022,41720337,6896.12,79.9
Country_16,Asia,2022,35924144,12137.45,77.3
Country_17,Europe,2022,2523541,53433.11,85.0
Country_18,Europe,2022,5588276,9648.69,82.2
Country_19,Europe,2022,14605301,10483.42,74.2
Country_20,Asia,2022,38390388,7521.75,82.0
Country_21,Africa,2022,4330695,1189.43,65.9
Country_22,Asia,2022,6726136,7891.06,82.9
Country_23,Asia,2022,1690436,8606.13,85.0
Country_24,Europe,2022,1477245,95153.07,85.0
Country_25,Europe,2022,30062488,6685.12,83.1
Country_26,Americas,2022,67955255,10954.96,82.5
Country_27,Asia,2022,7976296,7826.64,83.0
Country_28,Europe,2022,40036389,2518.26,83.5
Country_29,Africa,2022,15286093,25408.09,82.8
Country_30,Asia,2022,3376399,17187.42,78.6
Country_31,Africa,2022,15280581,17872.74,78.1
Country_32,Asia,2022,89259181,3263.69,71.1
Country_33,Asia,2022,8421183,32951.57,84.8
Country_34,Americas,2022,92893616,1994.5,74.7
Country_35,Oceania,2022,174622,14572.0,83.0
Country_36,Americas,2022,30488305,72435.78,85.0
Country_37,Europe,2022,10125530,3009.3,74.8
Country_38,Asia,2022,5674477,4599.5,83.9
Country_39,Africa,2022,10197377,8952.17,78.2
Country_40,Europe,2022,450740,4897.72,85.0
Country_41,Asia,2022,6391580,1718.72,75.5
Country_42,Europe,2022,15182725,8678.14,75.1
Country_43,Asia,2022,81559311,2800.9,69.1
Country_44,Americas,2022,4084029,13011.55,83.6
Country_45,Asia,2022,2642562,3231.09,74.0
Country_46,Africa,2022,4186453,38174.93,85.0
Country_47,Europe,2022,35078647,3702.44,78.1
Country_48,Europe,2022,14550365,5871.93,77.3
Country_49,Europe,2022,4014244,18279.17,78.4
Country_50,Asia,2022,19190024,2366.43,66.2
