Track_Name,Artist,Genre,Danceability,Energy,Valence,Stream_Count
Electric Light,Bad Bunny,EDM,0.865,0.9,0.622,644860636
Golden City,Drake,EDM,0.958,0.827,0.603,207605892
Silent Light,Billie Eilish,EDM,0.754,0.803,0.759,32651631
Midnight Nights,Dua Lipa,Latin,0.255,0.648,0.117,28249002
Lost Vibes,Ariana Grande,Latin,0.418,0.397,0.563,7893454
Dark Light,Taylor Swift,EDM,0.807,0.997,0.605,7747476
Bitter Light,SZA,Rock,0.327,0.718,0.422,115357553
Electric Love,Drake,R&B,0.48,0.48,0.442,1056700629
Bitter Love,Bad Bunny,Hip Hop,0.765,0.597,0.288,10519429
Lost Nights,Ariana Grande,Latin,0.334,0.642,0.108,88215377
Golden Dreams,Kendrick Lamar,EDM,0.788,0.924,0.684,41797390
Silent Nights,Rosalia,Rock,0.431,0.578,0.256,320593120
Summer Vibes,Post Malone,R&B,0.665,0.669,0.147,36850383
Electric Nights,Bad Bunny,Hip Hop,0.806,0.465,0.622,265445519
Summer Vibes,Calvin Harris,R&B,0.666,0.432,0.438,283668735
Sweet Nights,Kendrick Lamar,Pop,0.584,0.628,0.663,10915453
Neon Echo,Ed Sheeran,Hip Hop,0.586,0.763,0.771,295831131
Electric Tears,Taylor Swift,Rock,0.554,0.854,0.271,659541101
Midnight Echo,Rosalia,Pop,0.357,0.695,1.0,225279803
Neon Shadows,Rosalia,R&B,0.618,0.617,0.44,3330545
Bitter Heart,Ariana Grande,Rock,0.722,0.767,0.471,30177122
Silent Tears,Drake,Hip Hop,0.783,0.438,0.4,107513466
Summer Love,Post Malone,Latin,0.619,0.494,0.603,280747847
Silent Love,The Weeknd,Rock,0.441,0.695,0.334,7309808
Midnight Shadows,David Guetta,Latin,0.601,0.659,0.552,46182860
Summer Tears,Post Malone,Latin,0.531,0.317,0.416,19708963
Silent Love,Rosalia,Pop,1.0,0.676,0.781,85315500
Lost Light,SZA,R&B,0.216,0.652,0.485,63099864
Midnight Dreams,Calvin Harris,Pop,0.721,0.709,1.0,103214614
Lost Love,Ariana Grande,R&B,0.829,0.593,0.266,202834219
Silent Tears,Calvin Harris,Hip Hop,0.881,0.758,0.318,8018191
Sweet Light,David Guetta,Pop,0.601,0.788,1.0,28079586
Summer City,David Guetta,Latin,0.29,0.62,0.399,72772192
Midnight Shadows,Rosalia,Rock,0.362,0.641,0.495,671417433
Summer Vibes,Calvin Harris,Latin,0.763,0.443,0.436,10362494
Dark Love,Kendrick Lamar,EDM,0.639,0.873,0.911,86612160
Midnight City,Rosalia,Rock,0.314,0.839,0.556,9059414
Midnight Heart,Dua Lipa,EDM,0.825,0.902,0.709,110405699
Bitter Vibes,Calvin Harris,Pop,0.794,0.598,0.746,22487561
Midnight Vibes,Ariana Grande,Rock,0.321,1.0,0.495,175795230
Summer Light,The Weeknd,Pop,0.924,0.554,0.857,19172289
Electric Vibes,Ed Sheeran,Rock,0.623,0.945,0.483,1129667833
Electric Tears,Calvin Harris,Hip Hop,0.422,0.551,0.349,19312914
Summer Tears,Calvin Harris,Pop,0.792,0.688,0.768,227071356
Lost City,Kendrick Lamar,Latin,0.547,0.603,0.791,3884475285
Bitter City,Ariana Grande,EDM,0.693,0.913,0.479,135395221
Midnight Heart,Billie Eilish,Hip Hop,0.695,0.555,0.643,58864963
Lost Tears,Ariana Grande,Hip Hop,0.511,0.431,0.197,237243640
Lost Echo,Dua Lipa,EDM,0.817,0.871,0.401,117034119
Bitter Dreams,Drake,Pop,0.759,0.567,0.731,11822848
Neon Heart,Drake,Hip Hop,0.817,0.672,0.612,319000452
Electric Heart,Dua Lipa,Rock,0.577,0.593,0.212,141906496
Summer Heart,Drake,R&B,0.714,0.703,1.0,360624734
Bitter Vibes,Kendrick Lamar,R&B,0.537,0.791,0.63,204986325
Silent City,SZA,Hip Hop,0.503,0.445,0.453,74239819
Dark Love,Bad Bunny,Hip Hop,0.737,1.0,0.127,5844000
Midnight Echo,Ariana Grande,Rock,0.51,0.729,0.618,13038053
Dark Dreams,Ariana Grande,Rock,0.39,0.693,0.536,90847050
Silent Shadows,Billie Eilish,Pop,1.0,0.707,0.57,169926837
Dark Nights,Bad Bunny,Pop,0.651,0.396,0.737,235836659
Sweet Shadows,Kendrick Lamar,Latin,0.701,0.441,0.477,240596735
Silent Love,Ed Sheeran,EDM,0.753,0.73,0.583,24643066
Silent Light,Kendrick Lamar,Rock,0.311,1.0,0.481,260156237
Midnight Echo,Taylor Swift,Pop,0.522,1.0,0.906,31757798
Golden Tears,Billie Eilish,Rock,0.567,0.99,0.258,209859974
Silent Heart,The Weeknd,Pop,0.264,0.561,0.688,14124459
Midnight Echo,Kendrick Lamar,Pop,0.995,0.662,0.45,7685053
Midnight Tears,Rosalia,Latin,0.888,0.512,0.526,7619389
Dark Heart,SZA,Pop,0.603,0.874,0.702,131320992
Dark Shadows,Dua Lipa,R&B,0.614,0.64,0.38,36837599
Silent Dreams,Drake,EDM,0.959,0.861,0.782,10255008
Bitter Echo,Calvin Harris,R&B,0.57,1.0,0.11,158692005
Summer Nights,Dua Lipa,Rock,0.469,0.842,0.275,31342908
Neon Shadows,Kendrick Lamar,EDM,0.836,0.791,0.82,23222579
Golden Echo,Rosalia,Latin,0.763,0.78,0.561,168836823
Lost Dreams,Post Malone,Latin,0.749,0.434,0.388,164029262
Sweet Dreams,SZA,R&B,0.856,0.596,0.523,27035000
Electric Light,Rosalia,Latin,0.556,0.709,0.46,341263436
Lost Dreams,Billie Eilish,Rock,0.696,0.924,0.563,67761568
Electric Vibes,Dua Lipa,Hip Hop,0.665,0.736,0.438,54015706
Golden Love,SZA,R&B,0.436,0.619,0.619,1514847958
Sweet City,Dua Lipa,Rock,0.674,0.649,0.157,215289467
Electric Heart,Rosalia,Pop,0.748,0.794,0.826,17091954
Lost Love,Rosalia,Hip Hop,0.795,0.615,0.365,52662486
Lost Shadows,SZA,Hip Hop,0.683,0.435,0.436,28188176
Electric Shadows,Dua Lipa,Rock,0.537,0.677,0.449,30694229
Electric Vibes,Rosalia,Rock,0.283,0.729,0.446,7950968
Electric Tears,Drake,EDM,0.831,0.778,0.607,600356573
Dark Dreams,Ed Sheeran,Pop,0.747,0.829,0.668,14595239
