学生ID,年级,学院,课后首选去向,周均图书馆时长,月均食堂消费
S0001,大二,设计学院,体育馆,15.9,1881.0
S0002,大一,设计学院,工作室,20.1,1530.0
S0003,大一,设计学院,体育馆,10.9,1636.0
S0004,大一,设计学院,工作室,14.1,726.0
S0005,大二,设计学院,工作室,8.4,1394.0
S0006,大一,设计学院,工作室,19.6,1232.0
S0007,大一,设计学院,宿舍,10.6,1022.0
S0008,大三,设计学院,工作室,10.3,1212.0
S0009,大三,设计学院,工作室,12.9,983.0
S0010,大一,设计学院,体育馆,16.7,1195.0
S0011,大二,设计学院,宿舍,7.0,1039.0
S0012,大四,设计学院,工作室,16.3,1351.0
S0013,大一,设计学院,工作室,12.5,1210.0
S0014,大二,设计学院,工作室,10.9,1617.0
S0015,大一,设计学院,宿舍,14.5,923.0
S0016,大一,设计学院,体育馆,10.0,1653.0
S0017,大一,设计学院,体育馆,17.6,1733.0
S0018,大三,设计学院,工作室,9.2,1207.0
S0019,大四,设计学院,工作室,10.8,1244.0
S0020,大二,设计学院,工作室,16.7,1707.0
S0021,大四,设计学院,工作室,14.6,1106.0
S0022,大三,设计学院,工作室,12.8,1769.0
S0023,大二,设计学院,宿舍,13.4,940.0
S0024,大二,设计学院,宿舍,12.0,1071.0
S0025,大二,设计学院,宿舍,9.4,900.0
S0026,大四,设计学院,工作室,17.1,1399.0
S0027,大三,设计学院,工作室,13.4,1591.0
S0028,大三,设计学院,图书馆,9.8,934.0
S0029,大一,设计学院,宿舍,14.3,1052.0
S0030,大一,设计学院,宿舍,6.6,916.0
S0031,大一,设计学院,工作室,12.3,1421.0
S0032,大二,设计学院,宿舍,14.2,985.0
S0033,大四,设计学院,工作室,4.4,1292.0
S0034,大一,设计学院,工作室,13.3,2039.0
S0035,大一,设计学院,工作室,12.1,1390.0
S0036,大一,设计学院,宿舍,18.1,1150.0
S0037,大一,设计学院,宿舍,19.3,720.0
S0038,大三,设计学院,工作室,8.5,1130.0
S0039,大一,设计学院,宿舍,6.0,1014.0
S0040,大三,设计学院,工作室,8.9,1765.0
S0041,大四,设计学院,工作室,9.5,1203.0
S0042,大四,设计学院,图书馆,16.7,754.0
S0043,大三,设计学院,工作室,5.8,1355.0
S0044,大一,设计学院,体育馆,14.2,1695.0
S0045,大二,设计学院,工作室,15.3,1389.0
S0046,大四,设计学院,工作室,9.9,1370.0
S0047,大一,设计学院,体育馆,14.3,1321.0
S0048,大一,设计学院,工作室,21.4,1442.0
S0049,大三,设计学院,工作室,8.6,1536.0
